bc_index;building_categories_index;climate_region_index;Af;gebaudebauweise_fbw;Hop;Htr_w;Hve;CM_factor;Am_factor;Tset;average_effective_area_wind_west_east_red_cool;average_effective_area_wind_south_red_cool;average_effective_area_wind_north_red_cool;spec_int_gains_cool_watt;hwb_norm;user_profile
227;7;1;2714.453;30;422.102;978.123;767.865;213505.516;3;20;143.696;43.734;20.826;3;34.121;4
228;7;1;2538.368;30;385.654;666.879;718.054;213505.516;3;20;101.627;39.087;15.635;3;29.855;4
229;2;1;183.794;60;455.146;167.626;51.992;398415.375;3.5;20;7.443;4.894;1.371;3;281.483;4
230;2;1;166.934;50;400.932;169.658;47.222;338121.656;3.5;20;12.082;5.744;1.981;3;269.841;4
231;2;1;174.14;30;303.876;136.287;49.261;213505.516;3;20;10.037;4.533;1.619;3;200.957;4
232;2;1;175.609;30;343.971;206.825;49.676;213505.516;3;20;13.315;7.709;2.336;3;243.444;4
233;2;1;184.145;30;301.07;180.889;52.091;213505.516;3;20;14.753;5.993;2.305;3;200.227;4
234;2;1;185.137;30;234.797;160.789;52.371;213505.516;3;20;8.323;5.549;1.541;3;168.966;4
235;2;1;182.928;30;160.481;173.941;51.747;213505.516;3;20;13.517;8.207;2.414;3;128.078;4
236;2;1;177.626;30;109.731;105.781;50.247;213505.516;3;20;15.365;5.587;2.328;3;77.695;4
237;2;1;176.861;20;104.809;65.118;50.031;148226.875;2.667;20;8.452;3.622;1.342;3;69.982;4
238;2;1;177.167;20;110.003;62.451;50.117;148226.875;2.667;20;7.959;3.411;1.263;3;72.042;4
239;2;1;186.503;20;108.431;67.656;52.758;148226.875;2.667;20;8.789;3.767;1.395;3;68.807;4
240;2;1;169.459;20;103.315;63.384;47.937;148226.875;2.667;20;8.207;3.517;1.303;3;71.697;4
241;2;1;214.028;20;120.821;73.598;60.544;148226.875;2.667;20;9.517;4.079;1.511;3;66.706;4
242;2;1;155.954;20;95.355;60.34;44.116;148226.875;2.667;20;7.86;3.368;1.248;3;72.261;4
243;3;1;151.969;60;294.398;117.269;42.989;398415.375;3.5;20;9.533;2.551;1.343;3;217.422;4
244;3;1;142.964;50;249.62;104.637;40.442;338121.656;3.5;20;8.049;2.012;1.118;3;200.459;4
245;3;1;149.278;30;183.679;164.408;42.228;213505.516;3;20;14.641;3.166;1.979;3;174.303;4
246;3;1;143.645;30;296.603;72.057;40.634;213505.516;3;20;4.667;1.167;0.648;3;221.487;4
247;3;1;151.571;30;160.877;183.001;42.876;213505.516;3;20;10.867;5.996;1.874;3;169.272;4
248;3;1;154.146;30;141.848;88.813;43.605;213505.516;3;20;8.1;2.168;1.141;3;115.934;4
249;3;1;152.423;30;127.957;98.692;43.117;213505.516;3;20;7.616;4.202;1.313;3;110.711;4
250;3;1;154.716;30;85.43;55.498;43.766;213505.516;3;20;8.532;1.845;1.153;3;65.399;4
251;3;1;151.438;20;46.467;92.855;42.839;148226.875;2.667;20;14.296;5.198;2.166;3;54.465;4
252;3;1;146.201;20;45.149;91.484;41.357;148226.875;2.667;20;14.095;5.125;2.136;3;55.139;4
253;3;1;170.843;20;47.722;106.935;48.328;148226.875;2.667;20;16.557;6.021;2.509;3;52.773;4
254;3;1;174.619;20;50.717;103.041;49.396;148226.875;2.667;20;15.878;5.774;2.406;3;52.206;4
255;3;1;168.428;20;48.14;103.962;47.645;148226.875;2.667;20;16.069;5.843;2.435;3;52.939;4
256;5;1;338.341;60;502.776;293.36;95.71;398415.375;3.5;20;21.925;11.52;3.716;3;175.465;4
257;5;1;318.3;50;492.357;328.42;90.041;338121.656;3.5;20;20.371;7.835;3.134;3;200.827;4
258;5;1;311.974;30;356.961;359.813;88.251;213505.516;3;20;25.468;15.463;4.548;3;164.186;4
